Series ID,Year,Period,Label,Value
LNS14000000,2023,M05,2023 May,3.7
LNS14000000,2023,M06,2023 Jun,3.6
LNS14000000,2023,M07,2023 Jul,3.5
LNS14000000,2023,M08,2023 Aug,3.8
LNS14000000,2023,M09,2023 Sep,3.8
LNS14000000,2023,M10,2023 Oct,3.8
LNS14000000,2023,M11,2023 Nov,3.7
LNS14000000,2023,M12,2023 Dec,3.7
LNS14000000,2024,M01,2024 Jan,3.7
LNS14000000,2024,M02,2024 Feb,3.9
LNS14000000,2024,M03,2024 Mar,3.8
LNS14000000,2024,M04,2024 Apr,3.9
LNS14000000,2024,M05,2024 May,4
LNS14000000,2024,M06,2024 Jun,4.1
LNS14000000,2024,M07,2024 Jul,4.3
LNS14000000,2024,M08,2024 Aug,4.2
LNS14000000,2024,M09,2024 Sep,4.1
LNS14000000,2024,M10,2024 Oct,4.1
