Year_Month_State,Incident Date,State,Incident City,Incident Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Year,Unemployment Rate,Year_Month,Month_Name,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other
2017-02 Ohio,2017-02-08,Ohio,Cleveland,16379 Euclid Ave,1.0,4.0,0.0,0.0,1.0,2017,4.6,2017-02,February,12784.0,58.0,36244.0,18068.0,2030.0,1583.0,0.0,7.0,3.0,3.0,2137.0,1217.0,7.0,28.0,3.0,1.0,0.0,0.0,51.0,23.0,6.0,1.0,2.0,1.0
2017-02 Ohio,2017-02-20,Ohio,Cleveland,1082 East 105th Street,0.0,5.0,0.0,0.0,0.0,2017,4.6,2017-02,February,12784.0,58.0,36244.0,18068.0,2030.0,1583.0,0.0,7.0,3.0,3.0,2137.0,1217.0,7.0,28.0,3.0,1.0,0.0,0.0,51.0,23.0,6.0,1.0,2.0,1.0
2017-02 Ohio,2017-02-21,Ohio,Cleveland,16700 Lorain Ave,0.0,4.0,0.0,0.0,2.0,2017,4.6,2017-02,February,12784.0,58.0,36244.0,18068.0,2030.0,1583.0,0.0,7.0,3.0,3.0,2137.0,1217.0,7.0,28.0,3.0,1.0,0.0,0.0,51.0,23.0,6.0,1.0,2.0,1.0
2017-02 Ohio,2017-02-25,Ohio,Warren,1564 Niles Cortland Rd SE,2.0,3.0,0.0,0.0,1.0,2017,4.6,2017-02,February,12784.0,58.0,36244.0,18068.0,2030.0,1583.0,0.0,7.0,3.0,3.0,2137.0,1217.0,7.0,28.0,3.0,1.0,0.0,0.0,51.0,23.0,6.0,1.0,2.0,1.0
2017-02 Ohio,2017-02-28,Ohio,Cincinnati,1700 of Casey Dr,0.0,6.0,0.0,0.0,0.0,2017,4.6,2017-02,February,12784.0,58.0,36244.0,18068.0,2030.0,1583.0,0.0,7.0,3.0,3.0,2137.0,1217.0,7.0,28.0,3.0,1.0,0.0,0.0,51.0,23.0,6.0,1.0,2.0,1.0
2017-02 Pennsylvania,2017-02-18,Pennsylvania,Philadelphia,50 block of N Conestoga St,0.0,4.0,0.0,0.0,0.0,2017,4.6,2017-02,February,27792.0,0.0,54107.0,12734.0,37.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,125.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02 South Carolina,2017-02-07,South Carolina,Columbia,5500 block of Fairfield Road,0.0,4.0,0.0,0.0,0.0,2017,4.6,2017-02,February,17148.0,0.0,12510.0,6324.0,637.0,2679.0,2.0,44.0,22.0,0.0,1510.0,1000.0,4.0,54.0,4.0,0.0,0.0,0.0,14.0,15.0,0.0,0.0,1.0,1.0
2017-02 Tennessee,2017-02-11,Tennessee,Savannah,Clifton Road and Midway Drive,0.0,4.0,0.0,0.0,0.0,2017,4.6,2017-02,February,19252.0,0.0,31982.0,16425.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02 Virginia,2017-02-19,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,1.0,3.0,0.0,0.0,0.0,2017,4.6,2017-02,February,838.0,0.0,28434.0,16587.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02 Virginia,2017-02-27,Virginia,Newport News,11810 Fountain Way,0.0,4.0,0.0,0.0,0.0,2017,4.6,2017-02,February,838.0,0.0,28434.0,16587.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 California,2017-03-03,California,Riverside,8300 block of Trey Ave,0.0,5.0,0.0,0.0,0.0,2017,4.4,2017-03,March,65892.0,0.0,48732.0,27839.0,3032.0,0.0,0.0,0.0,0.0,0.0,611.0,481.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 California,2017-03-04,California,Sacramento,2500 block of 33rd St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-03,March,65892.0,0.0,48732.0,27839.0,3032.0,0.0,0.0,0.0,0.0,0.0,611.0,481.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 California,2017-03-24,California,Fresno,300 block of South Villa Avenue,1.0,4.0,0.0,0.0,1.0,2017,4.4,2017-03,March,65892.0,0.0,48732.0,27839.0,3032.0,0.0,0.0,0.0,0.0,0.0,611.0,481.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Florida,2017-03-27,Florida,Sanford,209 Hays Dr,2.0,4.0,0.0,0.0,1.0,2017,4.4,2017-03,March,26986.0,0.0,60787.0,23982.0,3609.0,2176.0,4.0,12.0,5.0,1.0,3321.0,1431.0,8.0,326.0,45.0,3.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0
2017-03 Georgia,2017-03-05,Georgia,Columbus,600 block of 32nd Street,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-03,March,23394.0,0.0,19256.0,9518.0,533.0,676.0,0.0,16.0,15.0,1.0,2061.0,1718.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,1.0,0.0,1.0,0.0
2017-03 Illinois,2017-03-07,Illinois,Chicago,W 76th St and S May St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-03,March,911.0,116681.0,30518.0,14411.0,0.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Illinois,2017-03-10,Illinois,Chicago,123 E 51st St,2.0,2.0,0.0,0.0,0.0,2017,4.4,2017-03,March,911.0,116681.0,30518.0,14411.0,0.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Illinois,2017-03-30,Illinois,Chicago,2704 E 75th St,4.0,0.0,0.0,0.0,0.0,2017,4.4,2017-03,March,911.0,116681.0,30518.0,14411.0,0.0,1207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Kansas,2017-03-04,Kansas,Topeka,SE Bellview Ave and SE 23rd St,1.0,4.0,0.0,0.0,1.0,2017,4.4,2017-03,March,2492.0,8.0,7712.0,5522.0,558.0,360.0,0.0,10.0,7.0,1.0,669.0,453.0,10.0,30.0,18.0,2.0,0.0,0.0,13.0,17.0,8.0,1.0,0.0,0.0
2017-03 Kentucky,2017-03-19,Kentucky,Louisville,1512 Portland Avenue,1.0,5.0,0.0,0.0,0.0,2017,4.4,2017-03,March,370113.0,0.0,13769.0,8992.0,347.0,645.0,0.0,7.0,6.0,0.0,1985.0,2016.0,4.0,9.0,3.0,0.0,0.0,0.0,27.0,33.0,0.0,1.0,1.0,1.0
2017-03 Louisiana,2017-03-10,Louisiana,New Orleans (Gentilly),4200 block of Touro St,3.0,1.0,0.0,0.0,0.0,2017,4.4,2017-03,March,2963.0,0.0,13973.0,8092.0,988.0,762.0,0.0,4.0,6.0,0.0,1303.0,1159.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,1.0,0.0,2.0
2017-03 Louisiana,2017-03-15,Louisiana,Metairie,2508 Pasadena Ave,3.0,1.0,0.0,0.0,1.0,2017,4.4,2017-03,March,2963.0,0.0,13973.0,8092.0,988.0,762.0,0.0,4.0,6.0,0.0,1303.0,1159.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,25.0,2.0,1.0,0.0,2.0
2017-03 Michigan,2017-03-18,Michigan,Detroit,16000 block of Rutherford,3.0,1.0,0.0,1.0,1.0,2017,4.4,2017-03,March,25819.0,20.0,16031.0,11103.0,617.0,273.0,0.0,0.0,4.0,0.0,12.0,360.0,2.0,149.0,15.0,0.0,0.0,0.0,26.0,17.0,3.0,1.0,0.0,0.0
2017-03 Michigan,2017-03-25,Michigan,Detroit,8443 Grand River Ave,1.0,3.0,0.0,0.0,1.0,2017,4.4,2017-03,March,25819.0,20.0,16031.0,11103.0,617.0,273.0,0.0,0.0,4.0,0.0,12.0,360.0,2.0,149.0,15.0,0.0,0.0,0.0,26.0,17.0,3.0,1.0,0.0,0.0
2017-03 Missouri,2017-03-24,Missouri,Saint Louis,5100 block of Palm St,1.0,6.0,0.0,0.0,0.0,2017,4.4,2017-03,March,1253.0,0.0,27625.0,17931.0,1537.0,1286.0,0.0,9.0,9.0,0.0,1494.0,1465.0,8.0,127.0,16.0,2.0,0.0,0.0,81.0,73.0,8.0,2.0,1.0,1.0
2017-03 Ohio,2017-03-25,Ohio,Cleveland,E 79th St and Woodland Ave,2.0,2.0,0.0,0.0,3.0,2017,4.4,2017-03,March,17130.0,118.0,37474.0,19925.0,2384.0,1481.0,0.0,6.0,4.0,1.0,1562.0,944.0,4.0,14.0,2.0,1.0,0.0,0.0,65.0,28.0,3.0,4.0,2.0,1.0
2017-03 Ohio,2017-03-26,Ohio,Cincinnati,4601 Kellogg Ave,1.0,15.0,1.0,0.0,1.0,2017,4.4,2017-03,March,17130.0,118.0,37474.0,19925.0,2384.0,1481.0,0.0,6.0,4.0,1.0,1562.0,944.0,4.0,14.0,2.0,1.0,0.0,0.0,65.0,28.0,3.0,4.0,2.0,1.0
2017-03 Ohio,2017-03-26,Ohio,Cleveland,E 75th St,2.0,2.0,0.0,0.0,0.0,2017,4.4,2017-03,March,17130.0,118.0,37474.0,19925.0,2384.0,1481.0,0.0,6.0,4.0,1.0,1562.0,944.0,4.0,14.0,2.0,1.0,0.0,0.0,65.0,28.0,3.0,4.0,2.0,1.0
2017-03 Pennsylvania,2017-03-03,Pennsylvania,Philadelphia,7165 Germantown Ave,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-03,March,32238.0,0.0,61207.0,15836.0,86.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,116.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Tennessee,2017-03-25,Tennessee,Knoxville,Minnesota Ave,1.0,4.0,0.0,0.0,0.0,2017,4.4,2017-03,March,27766.0,0.0,29369.0,15922.0,1526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03 Texas,2017-03-26,Texas,Houston,5619 Aldine Bender Rd,2.0,4.0,0.0,0.0,1.0,2017,4.4,2017-03,March,33412.0,0.0,55983.0,34308.0,3702.0,2846.0,0.0,49.0,18.0,1.0,8049.0,5607.0,47.0,84.0,7.0,0.0,0.0,0.0,78.0,66.0,1.0,6.0,5.0,1.0
2017-03 Wisconsin,2017-03-22,Wisconsin,Rothschild,1133 E Grand Ave,4.0,0.0,1.0,0.0,0.0,2017,4.4,2017-03,March,20393.0,0.0,19864.0,16763.0,1105.0,41.0,0.0,0.0,1.0,2.0,161.0,291.0,8.0,52.0,28.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
2017-04 Alabama,2017-04-15,Alabama,Birmingham,1480 Center Point Pkwy,0.0,6.0,0.0,0.0,1.0,2017,4.4,2017-04,April,17958.0,340.0,7131.0,4724.0,229.0,261.0,0.0,2.0,9.0,0.0,1049.0,920.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,1.0,2.0,0.0
2017-04 California,2017-04-01,California,Pittsburg,100 block of Madoline Street,0.0,5.0,0.0,0.0,1.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-15,California,Banning,900 block of N Allen St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-16,California,Vallejo,110 Calhoun Street,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-29,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1.0,3.0,0.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-29,California,Whittier,10000 block of Carmentia Rd,1.0,3.0,0.0,2.0,2.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-29,California,Sacramento,3800 block of 26th Avenue,0.0,5.0,0.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-29,California,Compton,2000 Block of N Nestor Ave,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 California,2017-04-30,California,San Diego,9080 Judicial Dr,1.0,6.0,1.0,0.0,0.0,2017,4.4,2017-04,April,58147.0,0.0,45182.0,24898.0,3104.0,0.0,0.0,0.0,0.0,0.0,509.0,345.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Florida,2017-04-01,Florida,Tampa,219 S Howard Ave,1.0,4.0,0.0,0.0,1.0,2017,4.4,2017-04,April,22072.0,0.0,52889.0,19489.0,3290.0,1840.0,0.0,6.0,6.0,0.0,2664.0,1053.0,12.0,269.0,38.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
2017-04 Florida,2017-04-21,Florida,Palm Bay,2500 block of Vernon Dr,2.0,2.0,0.0,0.0,1.0,2017,4.4,2017-04,April,22072.0,0.0,52889.0,19489.0,3290.0,1840.0,0.0,6.0,6.0,0.0,2664.0,1053.0,12.0,269.0,38.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
2017-04 Florida,2017-04-26,Florida,Miami,SW 264th St and 139th Ave,0.0,4.0,0.0,0.0,2.0,2017,4.4,2017-04,April,22072.0,0.0,52889.0,19489.0,3290.0,1840.0,0.0,6.0,6.0,0.0,2664.0,1053.0,12.0,269.0,38.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
2017-04 Florida,2017-04-30,Florida,Jacksonville,1200 Ken Knight Dr N,0.0,5.0,0.0,0.0,0.0,2017,4.4,2017-04,April,22072.0,0.0,52889.0,19489.0,3290.0,1840.0,0.0,6.0,6.0,0.0,2664.0,1053.0,12.0,269.0,38.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
2017-04 Georgia,2017-04-13,Georgia,Atlanta,30 Anderson Ave SW,1.0,3.0,0.0,0.0,1.0,2017,4.4,2017-04,April,14464.0,0.0,13202.0,6567.0,463.0,421.0,0.0,22.0,6.0,0.0,1548.0,1103.0,6.0,1.0,0.0,0.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.0
2017-04 Illinois,2017-04-02,Illinois,Chicago,3500 block of W Van Buren St,2.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,15405.0,83427.0,25414.0,10416.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Illinois,2017-04-07,Illinois,Chicago,5600 block of W Lake St,1.0,5.0,0.0,0.0,0.0,2017,4.4,2017-04,April,15405.0,83427.0,25414.0,10416.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Illinois,2017-04-15,Illinois,Harvey,14600 block of Myrtle Avenue,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,15405.0,83427.0,25414.0,10416.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Illinois,2017-04-15,Illinois,Rock Falls,311 W  2nd St,0.0,4.0,0.0,0.0,1.0,2017,4.4,2017-04,April,15405.0,83427.0,25414.0,10416.0,0.0,845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Indiana,2017-04-09,Indiana,Fort Wayne,9439 Lima Rd,1.0,3.0,0.0,0.0,1.0,2017,4.4,2017-04,April,27978.0,0.0,21454.0,11390.0,1158.0,677.0,80.0,1.0,8.0,0.0,47.0,400.0,3.0,12.0,0.0,0.0,0.0,0.0,59.0,24.0,4.0,1.0,2.0,0.0
2017-04 Indiana,2017-04-15,Indiana,Indianapolis,300 block of S Meridian St,0.0,4.0,0.0,0.0,1.0,2017,4.4,2017-04,April,27978.0,0.0,21454.0,11390.0,1158.0,677.0,80.0,1.0,8.0,0.0,47.0,400.0,3.0,12.0,0.0,0.0,0.0,0.0,59.0,24.0,4.0,1.0,2.0,0.0
2017-04 Iowa,2017-04-02,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0.0,5.0,0.0,0.0,0.0,2017,4.4,2017-04,April,9542.0,724.0,252.0,2348.0,56.0,3.0,0.0,0.0,0.0,0.0,2.0,32.0,0.0,35.0,8.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0
2017-04 Kansas,2017-04-30,Kansas,Topeka,4104 SW 28th,3.0,1.0,1.0,0.0,0.0,2017,4.4,2017-04,April,3189.0,3.0,5901.0,4435.0,402.0,308.0,0.0,5.0,7.0,0.0,520.0,307.0,3.0,14.0,8.0,0.0,0.0,0.0,18.0,9.0,9.0,0.0,1.0,0.0
2017-04 Kentucky,2017-04-20,Kentucky,Louisville,700 block of East Jacob Street,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,372852.0,0.0,9858.0,6519.0,257.0,433.0,0.0,8.0,10.0,1.0,1363.0,1321.0,2.0,13.0,7.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0
2017-04 Louisiana,2017-04-06,Louisiana,Lake Charles,2000 block of Tulip St,1.0,3.0,0.0,0.0,4.0,2017,4.4,2017-04,April,2387.0,0.0,10551.0,6161.0,797.0,492.0,0.0,5.0,5.0,0.0,901.0,722.0,7.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,0.0,1.0,0.0,0.0
2017-04 Maryland,2017-04-29,Maryland,Germantown,12839 Kitchen House Way,1.0,3.0,0.0,0.0,2.0,2017,4.4,2017-04,April,3126.0,0.0,4435.0,5128.0,227.0,24.0,0.0,0.0,1.0,0.0,60.0,116.0,4.0,30.0,13.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,3.0
2017-04 Minnesota,2017-04-07,Minnesota,Saint Paul,1600 block of English St,3.0,1.0,1.0,0.0,1.0,2017,4.4,2017-04,April,44204.0,0.0,13074.0,12144.0,885.0,540.0,0.0,1.0,3.0,0.0,169.0,360.0,5.0,16.0,6.0,0.0,0.0,0.0,38.0,35.0,1.0,2.0,1.0,0.0
2017-04 New Jersey,2017-04-27,New Jersey,Newark,1100 block of S Orange Ave,1.0,3.0,0.0,0.0,0.0,2017,4.4,2017-04,April,0.0,0.0,5722.0,3201.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 North Carolina,2017-04-07,North Carolina,Hickory,1423 29th Ave Dr NE,3.0,1.0,0.0,0.0,2.0,2017,4.4,2017-04,April,24568.0,0.0,1471.0,9870.0,678.0,185.0,0.0,4.0,6.0,1.0,1534.0,1628.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,1.0,2.0,1.0
2017-04 North Carolina,2017-04-16,North Carolina,Elizabeth City,611 S Martin St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,24568.0,0.0,1471.0,9870.0,678.0,185.0,0.0,4.0,6.0,1.0,1534.0,1628.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,29.0,0.0,1.0,2.0,1.0
2017-04 Ohio,2017-04-16,Ohio,Columbus,1710 Cleveland Av,0.0,9.0,0.0,0.0,0.0,2017,4.4,2017-04,April,14485.0,59.0,31417.0,16030.0,1580.0,1209.0,0.0,3.0,3.0,0.0,1170.0,719.0,3.0,24.0,10.0,2.0,0.0,0.0,48.0,31.0,0.0,4.0,3.0,0.0
2017-04 Oklahoma,2017-04-01,Oklahoma,Oklahoma City,1212 N Woodward Ave,2.0,3.0,0.0,0.0,1.0,2017,4.4,2017-04,April,0.0,0.0,13317.0,9111.0,1159.0,862.0,0.0,9.0,9.0,1.0,1576.0,1355.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,3.0,2.0,1.0,1.0
2017-04 Pennsylvania,2017-04-03,Pennsylvania,Philadelphia,1100 block of W Stiles St,3.0,1.0,0.0,0.0,0.0,2017,4.4,2017-04,April,24949.0,0.0,48255.0,11877.0,97.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Pennsylvania,2017-04-15,Pennsylvania,Philadelphia,5900 block of Hammond St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,24949.0,0.0,48255.0,11877.0,97.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 Pennsylvania,2017-04-28,Pennsylvania,Chester,5 E 21st St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,24949.0,0.0,48255.0,11877.0,97.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04 South Carolina,2017-04-30,South Carolina,Loris,268 N Sea Green Rd,1.0,5.0,0.0,0.0,2.0,2017,4.4,2017-04,April,12113.0,987.0,9548.0,4420.0,515.0,1159.0,0.0,18.0,13.0,0.0,855.0,512.0,1.0,52.0,1.0,2.0,0.0,0.0,10.0,6.0,0.0,2.0,2.0,2.0
2017-04 Texas,2017-04-03,Texas,Lubbock,5401 Ave Q,0.0,7.0,0.0,0.0,1.0,2017,4.4,2017-04,April,21593.0,0.0,44994.0,28015.0,3098.0,2442.0,0.0,30.0,13.0,1.0,5788.0,3777.0,29.0,61.0,5.0,0.0,0.0,0.0,62.0,40.0,8.0,3.0,2.0,0.0
2017-04 Texas,2017-04-07,Texas,Houston,3829 Mount Pleasant St,4.0,0.0,1.0,0.0,0.0,2017,4.4,2017-04,April,21593.0,0.0,44994.0,28015.0,3098.0,2442.0,0.0,30.0,13.0,1.0,5788.0,3777.0,29.0,61.0,5.0,0.0,0.0,0.0,62.0,40.0,8.0,3.0,2.0,0.0
2017-04 Texas,2017-04-09,Texas,San Antonio,4000 block of Moss Spring Dr,1.0,3.0,0.0,0.0,0.0,2017,4.4,2017-04,April,21593.0,0.0,44994.0,28015.0,3098.0,2442.0,0.0,30.0,13.0,1.0,5788.0,3777.0,29.0,61.0,5.0,0.0,0.0,0.0,62.0,40.0,8.0,3.0,2.0,0.0
2017-04 Virginia,2017-04-29,Virginia,Virginia Beach,200 block of 18th St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-04,April,1074.0,0.0,29480.0,16844.0,1227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05 Alabama,2017-05-28,Alabama,Phenix City,100 block of 6th Street South,0.0,12.0,0.0,0.0,0.0,2017,4.4,2017-05,May,18538.0,313.0,7198.0,4559.0,254.0,309.0,0.0,5.0,15.0,0.0,1172.0,938.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,1.0,1.0
2017-05 Arizona,2017-05-21,Arizona,Mesa,441 N Val Vista Dr,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-05,May,6628.0,136.0,12002.0,6555.0,951.0,621.0,0.0,6.0,4.0,1.0,1119.0,551.0,4.0,98.0,7.0,0.0,0.0,0.0,32.0,13.0,4.0,1.0,1.0,0.0
2017-05 Arkansas,2017-05-14,Arkansas,Jonesboro,311 S Main St,1.0,6.0,0.0,0.0,2.0,2017,4.4,2017-05,May,4137.0,666.0,5181.0,3981.0,217.0,275.0,52.0,8.0,5.0,0.0,965.0,1228.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,0.0,2.0,0.0
2017-05 District of Columbia,2017-05-27,District of Columbia,Washington,100 block of Q St NW,1.0,7.0,0.0,0.0,0.0,2017,4.4,2017-05,May,10.0,0.0,66.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05 Florida,2017-05-02,Florida,Jacksonville,1566 West 24th Street,1.0,3.0,0.0,0.0,0.0,2017,4.4,2017-05,May,19014.0,0.0,49700.0,18476.0,3001.0,1907.0,4.0,9.0,2.0,0.0,2882.0,1129.0,10.0,356.0,52.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0
2017-05 Florida,2017-05-14,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,0.0,5.0,0.0,0.0,0.0,2017,4.4,2017-05,May,19014.0,0.0,49700.0,18476.0,3001.0,1907.0,4.0,9.0,2.0,0.0,2882.0,1129.0,10.0,356.0,52.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0
2017-05 Florida,2017-05-26,Florida,Miami,2730 NW 167th St,0.0,4.0,0.0,0.0,0.0,2017,4.4,2017-05,May,19014.0,0.0,49700.0,18476.0,3001.0,1907.0,4.0,9.0,2.0,0.0,2882.0,1129.0,10.0,356.0,52.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0
